ダウンロードした時刻：2025/01/19 18:09:25

,長岡,長岡,長岡,長岡,長岡,長岡,長岡,長岡,長岡
年月,降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),雪日数(日),雪日数(日),雪日数(日),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1980/12,198,5,1,,0,1,,0,1
1981/1,395,5,1,,0,1,,0,1
1981/2,189,4,1,,0,1,,0,1
1981/3,81,4,1,,0,1,,0,1
1981/12,77,4,1,,0,1,,0,1
1982/1,275,4,1,,0,1,,0,1
1982/2,305,4,1,,0,1,,0,1
1982/3,158,4,1,,0,1,,0,1
1982/12,22,8,1,,0,1,,0,1
1983/1,263,8,1,,0,1,,0,1
1983/2,339,8,1,,0,1,,0,1
1983/3,130,5,1,,0,1,,0,1
1983/12,242,8,1,,0,1,,0,1
1984/1,414,8,1,,0,1,,0,1
1984/2,286,8,1,,0,1,,0,1
1984/3,225,8,1,,0,1,,0,1
1984/12,284,8,1,,0,1,,0,1
1985/1,350,8,1,,0,1,,0,1
1985/2,154,8,1,,0,1,,0,1
1985/3,121,8,1,,0,1,,0,1
1985/12,356,8,1,,0,1,,0,1
1986/1,608,8,1,,0,1,,0,1
1986/2,443,8,1,,0,1,,0,1
1986/3,241,8,1,,0,1,,0,1
1986/12,118,8,1,,0,1,,0,1
1987/1,484,8,1,,0,1,,0,1
1987/2,362,8,1,,0,1,,0,1
1987/3,156,8,1,,0,1,,0,1
1987/12,90,8,1,,0,1,,0,1
1988/1,216,8,1,,0,1,,0,1
1988/2,296,8,1,,0,1,,0,1
1988/3,161,8,1,,0,1,,0,1
1988/12,53,8,1,,0,1,,0,1
1989/1,6,8,1,,0,1,,0,1
1989/2,30,8,1,,0,1,,0,1
1989/3,0,5,1,,0,1,,0,1
1989/12,34,8,1,,0,1,,0,1
1990/1,255,8,1,,0,1,,0,1
1990/2,52,8,1,,0,1,,0,1
1990/3,14,8,1,,0,1,,0,1
1990/12,21,5,1,,0,1,,0,1
1991/1,282,8,1,,0,1,,0,1
1991/2,250,5,1,,0,1,,0,1
1991/3,63,5,1,,0,1,,0,1
1991/12,26,8,1,,0,1,,0,1
1992/1,121,8,1,,0,1,,0,1
1992/2,206,8,1,,0,1,,0,1
1992/3,32,8,1,,0,1,,0,1
1992/12,62,5,1,,0,1,,0,1
1993/1,102,8,1,,0,1,,0,1
1993/2,68,5,1,,0,1,,0,1
1993/3,38,8,1,,0,1,,0,1
1993/12,46,8,1,,0,1,,0,1
1994/1,113,5,1,,0,1,,0,1
1994/2,184,5,1,,0,1,,0,1
1994/3,44,8,1,,0,1,,0,1
1994/12,164,8,1,,0,1,,0,1
1995/1,385,5,1,,0,1,,0,1
1995/2,226,8,1,,0,1,,0,1
1995/3,115,5,1,,0,1,,0,1
1995/12,54,8,1,,0,1,,0,1
1996/1,214,8,1,,0,1,,0,1
1996/2,276,8,1,,0,1,,0,1
1996/3,75,8,1,,0,1,,0,1
1996/12,51,8,1,,0,1,,0,1
1997/1,121,8,1,,0,1,,0,1
1997/2,139,8,1,,0,1,,0,1
1997/3,0,8,1,,0,1,,0,1
1997/12,24,8,1,,0,1,,0,1
1998/1,289,8,1,,0,1,,0,1
1998/2,146,8,1,,0,1,,0,1
1998/3,13,8,1,,0,1,,0,1
1998/12,14,8,1,,0,1,,0,1
1999/1,253,8,1,,0,1,,0,1
1999/2,243,8,1,,0,1,,0,1
1999/3,29,8,1,,0,1,,0,1
1999/12,95,8,1,,0,1,,0,1
2000/1,127,8,1,,0,1,,0,1
2000/2,181,8,1,,0,1,,0,1
2000/3,98,8,1,,0,1,,0,1
2000/12,61,8,1,,0,1,,0,1
