ダウンロードした時刻：2025/01/19 18:21:07

,長岡,長岡,長岡,長岡,長岡,長岡,長岡,長岡,長岡
年月,降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),雪日数(日),雪日数(日),雪日数(日),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2000/1,127,8,1,,0,1,,0,1
2000/2,181,8,1,,0,1,,0,1
2000/3,98,8,1,,0,1,,0,1
2001/1,310,8,1,,0,1,,0,1
2001/2,195,8,1,,0,1,,0,1
2001/3,111,8,1,,0,1,,0,1
2002/1,167,8,1,,0,1,,0,1
2002/2,121,8,1,,0,1,,0,1
2002/3,0,8,1,,0,1,,0,1
2003/1,206,8,1,,0,1,,0,1
2003/2,99,8,1,,0,1,,0,1
2003/3,24,8,1,,0,1,,0,1
2004/1,180,8,1,,0,1,,0,1
2004/2,134,8,1,,0,1,,0,1
2004/3,68,8,1,,0,1,,0,1
2005/1,220,8,1,,0,1,,0,1
2005/2,257,8,1,,0,1,,0,1
2005/3,170,8,1,,0,1,,0,1
2006/1,178,8,1,,0,1,,0,1
2006/2,152,8,1,,0,1,,0,1
2006/3,147,8,1,,0,1,,0,1
2007/1,2,8,1,,0,1,,0,1
2007/2,18,8,1,,0,1,,0,1
2007/3,82,8,1,,0,1,,0,1
2008/1,146,8,1,,0,1,,0,1
2008/2,177,8,1,,0,1,,0,1
2008/3,43,8,1,,0,1,,0,1
2009/1,177,8,1,,0,1,,0,1
2009/2,90,8,1,,0,1,,0,1
2009/3,0,8,1,,0,1,,0,1
2010/1,273,8,1,,0,1,,0,1
2010/2,164,8,1,,0,1,,0,1
2010/3,32,8,1,,0,1,,0,1
2011/1,363,8,1,,0,1,,0,1
2011/2,46,8,1,,0,1,,0,1
2011/3,110,8,1,,0,1,,0,1
2012/1,288,8,1,,0,1,,0,1
2012/2,281,8,1,,0,1,,0,1
2012/3,79,8,1,,0,1,,0,1
2013/1,240,8,1,,0,1,,0,1
2013/2,221,8,1,,0,1,,0,1
2013/3,17,8,1,,0,1,,0,1
2014/1,188,8,1,,0,1,,0,1
2014/2,142,8,1,,0,1,,0,1
2014/3,37,8,1,,0,1,,0,1
2015/1,131,8,1,,0,1,,0,1
2015/2,68,8,1,,0,1,,0,1
2015/3,29,5,1,,0,1,,0,1
2016/1,179,8,1,,0,1,,0,1
2016/2,114,8,1,,0,1,,0,1
2016/3,32,8,1,,0,1,,0,1
2017/1,169,8,1,,0,1,,0,1
2017/2,72,8,1,,0,1,,0,1
2017/3,47,8,1,,0,1,,0,1
2018/1,291,8,1,,0,1,,0,1
2018/2,225,8,1,,0,1,,0,1
2018/3,7,8,1,,0,1,,0,1
2019/1,172,8,1,,0,1,,0,1
2019/2,100,8,1,,0,1,,0,1
2019/3,11,8,1,,0,1,,0,1
2020/1,23,8,1,,0,1,,0,1
2020/2,59,8,1,,0,1,,0,1
2020/3,0,8,1,,0,1,,0,1
2021/1,340,8,1,,0,1,,0,1
2021/2,190,5,1,,0,1,,0,1
2021/3,0,8,1,,0,1,,0,1
2022/1,189,8,1,,0,1,,0,1
2022/2,244,8,1,,0,1,,0,1
2022/3,43,8,1,,0,1,,0,1
2023/1,223,8,1,,0,1,,0,1
2023/2,110,8,1,,0,1,,0,1
2023/3,0,8,1,,0,1,,0,1
2024/1,93,8,1,,0,1,,0,1
2024/2,13,4,1,,0,1,,0,1
2024/3,43,8,1,,0,1,,0,1
